id_razao,data,conta,historico,documento,valor
R00028,2026-06-22,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Vasconcelos S.A.,DOC100244,10696.06
R00029,2026-06-19,2.1.3.01 - Tributos a Recolher,DARF - Abreu,DOC100096,-2885.13
R00030,2026-06-24,1.1.2.01 - Clientes,TED RECEBIDA - Cunha,DOC100229,1117.61
R00031,2026-06-11,2.1.1.01 - Fornecedores,PIX ENVIADO - Marques S.A.,DOC100194,-1172.83
R00032,2026-06-23,1.1.2.01 - Clientes,TED RECEBIDA - Abreu Ltda.,DOC100132,2599.88
R00033,2026-06-28,1.1.2.01 - Clientes,TED RECEBIDA - Caldeira Sampaio Ltda.,DOC100249,2396.14
R00034,2026-06-22,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Martins Garcia Ltda.,DOC100029,-8728.65
R00035,2026-06-26,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE902 - parcela 3,LOTE902-3,2468.26
R00036,2026-06-10,2.1.1.01 - Fornecedores,PIX ENVIADO - Pimenta,DOC100121,-379.85
R00037,2026-06-20,2.1.3.01 - Tributos a Recolher,DARF - Rocha e Filhos,DOC100084,-13961.63
R00038,2026-06-29,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Borges da Mota - ME,DOC100263,375.79
R00039,2026-06-08,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Castro S/A,DOC100312,-16388.13
R00040,2026-06-02,2.1.1.01 - Fornecedores,PIX ENVIADO - Nunes S.A.,DOC100240,-8723.01
R00041,2026-06-22,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Sampaio,DOC100316,-732.35
R00042,2026-06-22,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Carvalho Moraes - ME,DOC100041,6405.53
R00043,2026-05-31,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Fernandes,DOC100265,17056.94
R00044,2026-06-19,2.1.1.01 - Fornecedores,PIX ENVIADO - da Conceição Ltda.,DOC100315,-2333.92
R00045,2026-06-29,1.1.2.01 - Clientes,PIX RECEBIDO - Leão,DOC100186,11550.21
R00046,2026-06-24,1.1.2.01 - Clientes,TED RECEBIDA - Barbosa,DOC100317,1192.47
R00047,2026-06-25,2.1.3.01 - Tributos a Recolher,DARF - Costela - ME,DOC100213,-1236.72
R00048,2026-06-15,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Casa Grande,DOC100035,2611.93
R00049,2026-06-17,1.1.2.01 - Clientes,PIX RECEBIDO - Sousa Farias - ME,DOC100145,19641.75
R00050,2026-06-26,2.1.3.01 - Tributos a Recolher,DARF - Ferreira - EI,DOC100251,-1358.85
R00051,2026-06-29,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Fonseca Ltda.,DOC100060,2642.93
R00052,2026-06-03,1.1.2.01 - Clientes,PIX RECEBIDO - Siqueira,DOC100159,24322.48
R00053,2026-06-26,1.1.2.01 - Clientes,TED RECEBIDA - Carvalho S.A.,DOC100208,4319.58
R00054,2026-06-23,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Duarte,DOC100262,-14020.88
R00055,2026-06-20,2.1.1.01 - Fornecedores,PIX ENVIADO - Aragão - EI,DOC100103,-930.51
R00056,2026-06-22,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Guerra Campos - EI,DOC100107,14131.14
R00057,2026-06-03,2.1.3.01 - Tributos a Recolher,DARF - da Cruz,DOC100001,-906.21
R00058,2026-06-17,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Fernandes,DOC100268,2927.77
R00059,2026-06-24,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Guerra Sales S.A.,DOC100277,24042.53
R00060,2026-06-25,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Vargas Ltda.,DOC100152,-8346.55
R00061,2026-06-13,2.1.3.01 - Tributos a Recolher,DARF - Carvalho,DOC100226,-1078.77
R00062,2026-06-06,1.1.2.01 - Clientes,TED RECEBIDA - Cirino,DOC100227,16598.76
R00063,2026-06-28,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - da Mota Macedo S/A,DOC100204,2015.93
R00064,2026-06-21,2.1.1.01 - Fornecedores,PIX ENVIADO - Ribeiro,DOC100123,-1309.27
R00065,2026-06-27,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE900 - parcela 3,LOTE900-3,1339.2
R00066,2026-06-09,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Pastor - ME,DOC100003,2456.88
R00067,2026-06-18,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Cassiano Freitas S.A.,DOC100057,-64.02
R00068,2026-06-20,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Silveira,DOC100222,306.13
R00069,2026-06-03,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Mendes,DOC100216,-255.72
R00070,2026-06-11,2.1.3.01 - Tributos a Recolher,DARF - Silva das Neves - ME,DOC100067,-3403.14
R00071,2026-06-04,1.1.2.01 - Clientes,PIX RECEBIDO - Silva Fernandes S.A.,DOC100127,1740.51
R00072,2026-06-13,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - das Neves,DOC100307,-481.28
R00073,2026-06-07,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Brito Brito e Filhos,DOC100080,11447.53
R00074,2026-06-18,2.1.1.01 - Fornecedores,PIX ENVIADO - Cassiano,DOC100011,-4196.14
R00075,2026-06-30,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Teixeira - EI,DOC100215,-542.75
R00076,2026-06-26,1.1.2.01 - Clientes,TED RECEBIDA - Carvalho,DOC100036,2605.77
R00077,2026-06-30,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Guerra Araújo S.A.,DOC100095,-235.06
R00078,2026-06-16,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Albuquerque - ME,DOC100115,8287.13
R00079,2026-06-14,1.1.2.01 - Clientes,TED RECEBIDA - Pinto,DOC100165,564.87
R00080,2026-06-07,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - da Rosa Albuquerque e Filhos,DOC100290,-15571.63
R00081,2026-06-05,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Melo Pimenta S/A,DOC100185,-2114.0
R00082,2026-06-03,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Mota Aparecida S/A,DOC100291,24286.35
R00083,2026-06-22,2.1.1.01 - Fornecedores,PIX ENVIADO - Novaes,DOC100047,-5438.32
R00084,2026-06-07,1.1.2.01 - Clientes,TED RECEBIDA - Sampaio Lima Ltda.,DOC100010,2060.0
R00085,2026-06-08,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - da Luz - ME,DOC100228,1391.68
R00086,2026-06-16,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Pimenta e Filhos,DOC100308,1473.66
R00087,2026-06-14,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Melo,DOC100279,-164.44
R00088,2026-06-23,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Porto Sá - ME,DOC100293,-12022.05
R00089,2026-06-17,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Nogueira Cardoso e Filhos,DOC100077,-1012.59
R00090,2026-06-22,2.1.1.01 - Fornecedores,PIX ENVIADO - da Cruz,DOC100078,-500.11
R00091,2026-06-17,1.1.2.01 - Clientes,TED RECEBIDA - da Luz Ribeiro S/A,DOC100310,10020.55
R00092,2026-06-15,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Correia Cunha e Filhos,DOC100286,-1425.79
R00093,2026-06-09,2.1.3.01 - Tributos a Recolher,DARF - Lopes Cardoso S/A,DOC100138,-87.5
R00094,2026-06-14,2.1.1.01 - Fornecedores,PIX ENVIADO - Souza Novais - EI,DOC100037,-316.06
R00095,2026-06-13,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Araújo Moraes S/A,DOC100105,-1415.13
R00096,2026-06-24,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Brito,DOC100288,-319.77
R00097,2026-06-15,1.1.2.01 - Clientes,TED RECEBIDA - Rodrigues e Filhos,DOC100048,1051.11
R00098,2026-06-20,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Carvalho Sousa S/A,DOC100002,7374.43
R00099,2026-06-25,1.1.2.01 - Clientes,TED RECEBIDA - Vargas,DOC100242,20362.99
R00100,2026-06-15,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Marques Ferreira Ltda.,DOC100149,-1423.24
R00101,2026-06-28,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Alves,DOC100144,24738.62
R00102,2026-06-26,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Azevedo,DOC100063,-409.84
R00103,2026-06-23,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Silva Sampaio - ME,DOC100187,-1421.66
R00104,2026-06-12,2.1.3.01 - Tributos a Recolher,DARF - Ribeiro Barros Ltda.,DOC100181,-8010.48
R00105,2026-06-25,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Lima Camargo - EI,DOC100319,1717.09
R00106,2026-06-25,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Barbosa Pastor e Filhos,DOC100248,-755.09
R00107,2026-06-22,2.1.1.01 - Fornecedores,PIX ENVIADO - Montenegro,DOC100054,-5855.73
R00108,2026-06-16,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Sampaio,DOC100099,14867.22
R00109,2026-06-06,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Pimenta,DOC100197,-3591.52
R00110,2026-06-02,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Azevedo Leão - ME,DOC100210,-11406.77
R00111,2026-06-08,1.1.2.01 - Clientes,PIX RECEBIDO - Teixeira,DOC100231,442.99
R00112,2026-06-03,2.1.1.01 - Fornecedores,PIX ENVIADO - Mendonça,DOC100273,-1088.27
R00113,2026-06-16,2.1.3.01 - Tributos a Recolher,DARF - Machado,DOC100275,-417.3
R00114,2026-06-10,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Martins Cardoso - EI,DOC100223,-1627.54
R00115,2026-06-14,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Martins,DOC100090,-10453.08
R00116,2026-06-13,2.1.3.01 - Tributos a Recolher,DARF - Aragão e Filhos,DOC100092,-17055.24
R00117,2026-06-03,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Pastor,DOC100008,-5260.32
R00118,2026-06-24,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Alves e Filhos,DOC100000,-448.79
R00119,2026-06-05,2.1.3.01 - Tributos a Recolher,DARF - Silveira Ltda.,DOC100167,-12025.43
R00120,2026-06-19,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Peixoto Ltda.,DOC100058,-851.16
R00121,2026-06-26,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Garcia S/A,DOC100013,1049.04
R00122,2026-06-25,2.1.3.01 - Tributos a Recolher,DARF - Pereira e Filhos,DOC100027,-232.35
R00123,2026-06-15,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Fogaça S.A.,DOC100140,-4494.57
R00124,2026-06-12,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Leão,DOC100212,477.42
R00125,2026-06-21,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Costa Almeida - EI,DOC100238,686.48
R00126,2026-06-26,1.1.2.01 - Clientes,PIX RECEBIDO - Novais,DOC100135,19477.07
R00127,2026-06-17,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Gonçalves,DOC100247,-574.65
R00128,2026-06-14,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Jesus Mendonça - ME,DOC100094,-7916.14
R00129,2026-06-06,2.1.3.01 - Tributos a Recolher,DARF - Sampaio,DOC100241,-16645.96
R00130,2026-06-03,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Montenegro Caldeira e Filhos,DOC100055,1957.71
R00131,2026-06-02,1.1.2.01 - Clientes,TED RECEBIDA - Macedo,DOC100068,12560.4
R00132,2026-06-02,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - da Mata da Paz - EI,DOC100126,-14883.84
R00133,2026-06-12,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE901 - parcela 2,LOTE901-2,3923.61
R00134,2026-06-26,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Macedo,DOC100179,-217.0
R00135,2026-06-16,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - da Rocha,DOC100314,-17096.34
R00136,2026-06-02,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Peixoto,DOC100269,24582.87
R00137,2026-06-19,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Souza Ltda.,DOC100102,-9173.06
R00138,2026-06-23,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Ribeiro,DOC100278,-16751.12
R00139,2026-06-15,2.1.1.01 - Fornecedores,PIX ENVIADO - Guerra Farias Ltda.,DOC100151,-849.33
R00140,2026-06-27,2.1.1.01 - Fornecedores,PIX ENVIADO - da Costa e Filhos,DOC100272,-9166.28
R00141,2026-06-26,1.1.2.01 - Clientes,PIX RECEBIDO - Novais S.A.,DOC100193,1759.05
R00142,2026-06-23,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Gomes - EI,DOC100161,-1336.79
R00143,2026-06-09,2.1.3.01 - Tributos a Recolher,DARF - Barros,DOC100302,-231.5
R00144,2026-06-25,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - da Paz,DOC100098,-6091.23
R00145,2026-06-21,2.1.1.01 - Fornecedores,PIX ENVIADO - da Cunha Aparecida e Filhos,DOC100162,-1042.38
R00146,2026-06-06,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Fogaça,DOC100281,2115.83
R00147,2026-06-28,2.1.1.01 - Fornecedores,PIX ENVIADO - Abreu,DOC100009,-6086.56
R00148,2026-06-06,2.1.1.01 - Fornecedores,PIX ENVIADO - Pacheco,DOC100039,-9442.41
R00149,2026-06-23,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Camargo S/A,DOC100136,11855.19
R00150,2026-06-03,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Sampaio,DOC100292,-6290.98
R00151,2026-06-28,2.1.1.01 - Fornecedores,PIX ENVIADO - Araújo da Costa - EI,DOC100061,-285.63
R00152,2026-06-25,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Moreira S.A.,DOC100271,-2231.54
R00153,2026-06-18,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Cavalcante,DOC100243,2083.38
R00154,2026-06-03,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Andrade Dias - ME,DOC100031,-1076.37
R00155,2026-06-25,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Cassiano,DOC100100,2878.26
R00156,2026-06-09,2.1.3.01 - Tributos a Recolher,DARF - Macedo,DOC100305,-14154.82
R00157,2026-06-09,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Correia Leão e Filhos,DOC100172,173.08
R00158,2026-06-29,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Rios,DOC100168,2443.2
R00159,2026-06-23,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Leão e Filhos,DOC100109,-4406.26
R00160,2026-06-06,2.1.1.01 - Fornecedores,PIX ENVIADO - Jesus,DOC100082,-12982.54
R00161,2026-06-26,2.1.3.01 - Tributos a Recolher,DARF - Oliveira,DOC100019,-1416.52
R00162,2026-06-19,1.1.2.01 - Clientes,TED RECEBIDA - Duarte,DOC100169,24164.64
R00163,2026-06-02,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - da Cunha,DOC100129,1887.45
R00164,2026-06-28,2.1.1.01 - Fornecedores,PIX ENVIADO - Moraes Melo e Filhos,DOC100180,-12627.7
R00165,2026-06-11,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Azevedo,DOC100118,12982.4
R00166,2026-06-28,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Alves,DOC100155,-13008.72
R00167,2026-06-02,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Vasconcelos e Filhos,DOC100236,-584.67
R00168,2026-06-27,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Fonseca,DOC100139,-440.79
R00169,2026-06-15,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Mota,DOC100131,2114.71
R00170,2026-06-20,2.1.1.01 - Fornecedores,PIX ENVIADO - Castro,DOC100199,-14423.25
R00171,2026-06-14,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Mendonça,DOC100220,-446.09
R00172,2026-06-27,1.1.2.01 - Clientes,PIX RECEBIDO - Rios Silva Ltda.,DOC100111,9136.42
R00173,2026-06-09,2.1.1.01 - Fornecedores,PIX ENVIADO - Rios - EI,DOC100122,-2399.68
R00174,2026-06-05,2.1.3.01 - Tributos a Recolher,DARF - Santos e Filhos,DOC100073,-12471.34
R00175,2026-06-04,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Lima,DOC100280,-12405.17
R00176,2026-06-11,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Melo S/A,DOC100234,-2626.72
R00177,2026-06-15,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Novais S.A.,DOC100006,-17556.41
R00178,2026-06-05,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - da Rosa Ltda.,DOC100176,-6369.32
R00179,2026-06-21,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Lopes Ltda.,DOC100256,-773.94
R00180,2026-06-19,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Ferreira S.A.,DOC100235,-9871.06
R00181,2026-06-23,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Sá,DOC100114,2658.31
R00182,2026-06-05,1.1.2.01 - Clientes,PIX RECEBIDO - Rios,DOC100195,1689.61
R00183,2026-06-27,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE900 - parcela 4,LOTE900-4,3299.85
R00184,2026-06-16,1.1.2.01 - Clientes,PIX RECEBIDO - Jesus,DOC100079,19906.77
R00185,2026-06-08,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Teixeira Fernandes S/A,DOC100012,2101.15
R00186,2026-06-14,2.1.1.01 - Fornecedores,PIX ENVIADO - Azevedo - ME,DOC100299,-779.15
R00187,2026-06-15,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Albuquerque,DOC100254,9198.98
R00188,2026-06-24,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Freitas da Paz S.A.,DOC100119,698.87
R00189,2026-06-17,2.1.1.01 - Fornecedores,PIX ENVIADO - Brito Garcia Ltda.,DOC100022,-15863.56
R00190,2026-06-12,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Borges,DOC100182,-12593.62
R00191,2026-06-16,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Carvalho Ltda.,DOC100124,-688.68
R00192,2026-06-20,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Moura,DOC100046,-12346.66
R00193,2026-06-19,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Porto da Luz S.A.,DOC100133,-16905.53
R00194,2026-06-29,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Fogaça,DOC100081,2290.25
R00195,2026-06-15,1.1.2.01 - Clientes,PIX RECEBIDO - Ribeiro,DOC100252,19552.61
R00196,2026-06-29,1.1.2.01 - Clientes,TED RECEBIDA - Fonseca Lopes S/A,DOC100164,232.5
R00197,2026-06-16,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Cassiano e Filhos,DOC100043,1583.12
R00198,2026-06-04,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Abreu,DOC100163,-1152.54
R00199,2026-06-23,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - das Neves - EI,DOC100246,-1251.99
R00200,2026-06-06,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Marques,DOC100113,-7354.61
R00201,2026-06-03,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Vieira Rodrigues - ME,DOC100044,2576.33
R00202,2026-06-03,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Rios da Mata e Filhos,DOC100026,394.11
R00203,2026-06-25,2.1.3.01 - Tributos a Recolher,DARF - Santos Azevedo S/A,DOC100020,-477.19
R00204,2026-06-18,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Gonçalves - EI,DOC100224,14005.77
R00205,2026-06-12,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE901 - parcela 1,LOTE901-1,2760.46
R00206,2026-06-20,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Monteiro Ltda.,DOC100266,1677.75
R00207,2026-06-19,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Melo,DOC100295,1201.4
R00208,2026-06-10,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Câmara Alves e Filhos,DOC100150,-6011.51
R00209,2026-06-21,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Lopes,DOC100160,-6921.33
R00210,2026-06-05,2.1.3.01 - Tributos a Recolher,DARF - Vieira - EI,DOC100250,-916.01
R00211,2026-06-24,1.1.2.01 - Clientes,PIX RECEBIDO - Nunes Silva Ltda.,DOC100033,15562.95
R00212,2026-06-15,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Barbosa - EI,DOC100116,-1199.75
R00213,2026-06-06,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Luz,DOC100097,293.31
R00214,2026-06-21,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Sampaio Moreira - ME,DOC100192,-1852.4
R00215,2026-06-02,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Luz S.A.,DOC100156,13405.48
R00216,2026-06-15,1.1.2.01 - Clientes,PIX RECEBIDO - Camargo,DOC100051,2526.17
R00217,2026-06-04,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Rocha das Neves S.A.,DOC100183,-9279.37
R00218,2026-06-30,1.1.2.01 - Clientes,PIX RECEBIDO - Siqueira,DOC100083,13042.16
R00219,2026-06-12,2.1.3.01 - Tributos a Recolher,DARF - da Mota,DOC100287,-627.15
R00220,2026-06-14,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Barros e Filhos,DOC100225,23265.57
R00221,2026-06-18,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - da Luz Viana e Filhos,DOC100318,704.77
R00222,2026-06-19,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Sá S/A,DOC100042,4341.07
R00223,2026-06-02,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Machado,DOC100200,-15480.43
R00224,2026-06-10,2.1.3.01 - Tributos a Recolher,DARF - Lopes,DOC100052,-1401.05
R00225,2026-06-03,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Macedo,DOC100296,-17993.32
R00226,2026-06-23,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Carvalho,DOC100088,8977.73
R00227,2026-06-18,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Rocha,DOC100154,-6985.26
R00228,2026-06-28,2.1.1.01 - Fornecedores,PIX ENVIADO - Campos Silveira S.A.,DOC100284,-930.98
R00229,2026-06-26,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Sales Melo e Filhos,DOC100274,3921.93
R00230,2026-06-10,1.1.2.01 - Clientes,PIX RECEBIDO - Azevedo,DOC100253,2901.95
R00231,2026-06-03,1.1.2.01 - Clientes,PIX RECEBIDO - Porto da Mota - EI,DOC100202,16734.98
R00232,2026-06-24,1.1.2.01 - Clientes,TED RECEBIDA - Teixeira S.A.,DOC100309,10598.15
R00233,2026-06-26,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Novais,DOC100270,-147.96
