id_extrato,data,historico,documento,valor
E00043,2026-06-12,LIQUIDACAO BOLETO DA CUNHA,DOC100283,1612.3
E00044,2026-06-20,PAGAMENTO FORNECEDOR MOURA,DOC100046,-12346.66
E00045,2026-06-09,CREDITO CARTAO PASTOR - ME,DOC100003,2456.88
E00046,2026-06-11,PIX ENVIADO PINTO,DOC100142,-9675.24
E00047,2026-06-20,TARIFA BANCARIA DA MATA,DOC100282,-1497.32
E00048,2026-06-13,DARF CARVALHO,DOC100226,-1078.77
E00049,2026-06-30,PIX RECEBIDO SIQUEIRA,DOC100083,13042.16
E00050,2026-06-18,FOLHA DE PAGAMENTO CASSIANO FREITAS S.A.,DOC100057,-64.02
E00051,2026-06-11,ALUGUEL MELO S/A,DOC100234,-2626.72
E00052,2026-06-05,DARF SILVEIRA LTDA.,DOC100167,-12025.43
E00053,2026-06-13,PIX ENVIADO GOMES - ME,DOC100045,-223.84
E00054,2026-06-25,PAGAMENTO FORNECEDOR GARCIA S/A,DOC100017,-118.32
E00055,2026-06-29,PIX RECEBIDO LEÃO,DOC100186,11550.21
E00056,2026-06-28,TED RECEBIDA AZEVEDO PEIXOTO S/A,DOC100106,2100.14
E00057,2026-06-29,CREDITO CARTAO FONSECA LTDA.,DOC100060,2642.93
E00058,2026-06-30,DARF CASTRO,DOC100024,-50.83
E00059,2026-06-20,LIQUIDACAO BOLETO SILVEIRA,DOC100222,306.13
E00060,2026-06-07,CREDITO CARTAO NOGUEIRA,DOC100211,590.98
E00061,2026-06-27,PIX RECEBIDO RIOS SILVA LTDA.,DOC100111,9136.42
E00062,2026-06-14,TARIFA BANCARIA JESUS MENDONÇA - ME,DOC100094,-7916.14
E00063,2026-06-02,ALUGUEL DA MATA DA PAZ - EI,DOC100126,-14883.84
E00064,2026-06-12,CREDITO CARTAO LEÃO,DOC100212,477.42
E00065,2026-06-17,TARIFA BANCARIA NOGUEIRA CARDOSO E FILHOS,DOC100077,-1012.59
E00066,2026-06-30,FOLHA DE PAGAMENTO GUERRA ARAÚJO S.A.,DOC100095,-235.06
E00067,2026-06-18,LIQUIDACAO BOLETO GONÇALVES - EI,DOC100224,14005.77
E00068,2026-06-19,PIX ENVIADO DA CONCEIÇÃO LTDA.,DOC100315,-2333.92
E00069,2026-06-27,ALUGUEL VARGAS,DOC100214,-1977.73
E00070,2026-06-27,CREDITO CARTAO REPASSE LOTE900,LOTE900,9755.15
E00071,2026-06-16,PIX RECEBIDO JESUS,DOC100079,19906.77
E00072,2026-06-08,FOLHA DE PAGAMENTO CASTRO S/A,DOC100312,-16388.13
E00073,2026-06-06,DARF SAMPAIO,DOC100241,-16645.96
E00074,2026-06-03,PAGAMENTO FORNECEDOR ANDRADE DIAS - ME,DOC100031,-1076.37
E00075,2026-06-13,ALUGUEL DAS NEVES,DOC100307,-481.28
E00076,2026-06-19,PIX ENVIADO CAMPOS NOVAIS - ME,DOC100303,-4044.21
E00077,2026-06-04,FOLHA DE PAGAMENTO GARCIA S/A,DOC100147,-91.86
E00078,2026-06-02,PAGAMENTO FORNECEDOR VASCONCELOS E FILHOS,DOC100236,-584.67
E00079,2026-06-13,LIQUIDACAO BOLETO BARBOSA MACEDO - EI,DOC100091,2728.79
E00080,2026-06-16,PIX RECEBIDO ANDRADE,DOC100157,5777.42
E00081,2026-06-29,RECEBIMENTO CLIENTE ALMEIDA,DOC100059,1169.76
E00082,2026-06-16,LIQUIDACAO BOLETO ALBUQUERQUE - ME,DOC100115,8287.13
E00083,2026-06-15,ALUGUEL NOVAIS S.A.,DOC100006,-17556.41
E00084,2026-06-03,ALUGUEL NOVAES,DOC100198,-740.56
E00085,2026-06-03,PIX RECEBIDO RODRIGUES DUARTE S/A,DOC100030,1113.54
E00086,2026-06-17,PIX ENVIADO BRITO GARCIA LTDA.,DOC100022,-15863.56
E00087,2026-06-19,CREDITO CARTAO MELO,DOC100295,1201.4
E00088,2026-06-21,PIX RECEBIDO PORTO,DOC100056,6554.8
E00089,2026-06-10,PIX ENVIADO PIMENTA,DOC100121,-379.85
E00090,2026-06-14,TARIFA BANCARIA FARIAS,DOC100206,-503.16
E00091,2026-06-28,DARF SANTOS,DOC100257,-230.78
E00092,2026-06-09,PIX ENVIADO DA MATA CASTRO E FILHOS,DOC100146,-16806.6
E00093,2026-06-06,PIX ENVIADO PACHECO,DOC100039,-9442.41
E00094,2026-06-15,PIX RECEBIDO RIBEIRO,DOC100252,19552.61
E00095,2026-06-18,TARIFA BANCARIA CÂMARA,DOC100148,-69.83
E00096,2026-06-12,FOLHA DE PAGAMENTO BORGES,DOC100182,-12593.62
E00097,2026-06-24,TED RECEBIDA TEIXEIRA S.A.,DOC100309,10598.15
E00098,2026-06-25,ALUGUEL MOREIRA S.A.,DOC100271,-2231.54
E00099,2026-06-03,PIX RECEBIDO SIQUEIRA,DOC100159,24322.48
E00100,2026-06-25,RECEBIMENTO CLIENTE CUNHA,DOC100066,17112.6
E00101,2026-06-20,PIX ENVIADO CASTRO,DOC100199,-14423.25
E00102,2026-06-20,FOLHA DE PAGAMENTO PIRES,DOC100018,-7796.72
E00103,2026-06-05,PAGAMENTO FORNECEDOR MELO PIMENTA S/A,DOC100185,-2114.0
E00104,2026-06-21,PAGAMENTO FORNECEDOR LOPES LTDA.,DOC100256,-746.86
E00105,2026-06-28,DARF OLIVEIRA,DOC100019,-1416.52
E00106,2026-06-21,FOLHA DE PAGAMENTO LOPES,DOC100160,-6921.33
E00107,2026-06-18,FOLHA DE PAGAMENTO BORGES S.A.,DOC100093,-1133.9
E00108,2026-06-07,CREDITO CARTAO BRITO BRITO E FILHOS,DOC100080,11447.53
E00109,2026-06-26,DARF FERREIRA - EI,DOC100251,-1358.85
E00110,2026-06-18,FOLHA DE PAGAMENTO ROCHA,DOC100154,-6985.26
E00111,2026-06-17,TARIFA BANCARIA PASTOR CÂMARA S/A,DOC100072,-8238.48
E00112,2026-06-06,LIQUIDACAO BOLETO DA LUZ,DOC100097,293.31
E00113,2026-06-05,LIQUIDACAO BOLETO APARECIDA,DOC100015,8425.81
E00114,2026-06-06,TARIFA BANCARIA MARQUES,DOC100113,-7354.61
E00115,2026-06-07,TED RECEBIDA SAMPAIO LIMA LTDA.,DOC100010,2060.0
E00116,2026-06-12,DARF RIBEIRO BARROS LTDA.,DOC100181,-8010.48
E00117,2026-06-04,CREDITO CARTAO CAMPOS,DOC100069,15684.94
E00118,2026-06-25,TARIFA BANCARIA DA PAZ,DOC100098,-6091.23
E00119,2026-06-04,TARIFA BANCARIA ROCHA DAS NEVES S.A.,DOC100183,-9279.37
E00120,2026-06-02,TED RECEBIDA MACEDO,DOC100068,12560.4
E00121,2026-06-26,TARIFA BANCARIA NOVAIS,DOC100270,-147.96
E00122,2026-06-14,PIX ENVIADO SOUZA NOVAIS - EI,DOC100037,-316.06
E00123,2026-06-29,FOLHA DE PAGAMENTO NASCIMENTO,DOC100016,-896.12
E00124,2026-06-08,RECEBIMENTO CLIENTE DA LUZ - ME,DOC100228,1391.68
E00125,2026-06-03,RECEBIMENTO CLIENTE MONTENEGRO CALDEIRA E FILHOS,DOC100055,1957.71
E00126,2026-06-15,ALUGUEL CORREIA CUNHA E FILHOS,DOC100286,-1425.79
E00127,2026-06-03,LIQUIDACAO BOLETO DA MOTA APARECIDA S/A,DOC100291,24286.35
E00128,2026-06-11,DARF SILVA DAS NEVES - ME,DOC100067,-3403.14
E00129,2026-06-29,CREDITO CARTAO CASSIANO S.A.,DOC100301,959.54
E00130,2026-06-03,ALUGUEL DA MOTA,DOC100232,-14251.99
E00131,2026-06-04,PIX RECEBIDO SILVA FERNANDES S.A.,DOC100127,1740.51
E00132,2026-06-14,TED RECEBIDA PINTO,DOC100165,564.87
E00133,2026-06-25,TARIFA BANCARIA CORREIA CORREIA - EI,DOC100087,-1177.63
E00134,2026-06-27,PIX ENVIADO DA COSTA E FILHOS,DOC100272,-9166.28
E00135,2026-06-17,PIX RECEBIDO SOUSA FARIAS - ME,DOC100145,19641.75
E00136,2026-06-03,PIX ENVIADO MENDONÇA,DOC100273,-1088.27
E00137,2026-06-03,FOLHA DE PAGAMENTO RIOS CALDEIRA LTDA.,DOC100141,-8237.74
E00138,2026-06-25,DARF DA CUNHA,DOC100233,-12738.7
E00139,2026-06-02,RECEBIMENTO CLIENTE FERNANDES,DOC100265,17056.94
E00140,2026-06-12,FOLHA DE PAGAMENTO GOMES SALES S.A.,DOC100209,-17028.64
E00141,2026-06-10,ALUGUEL CÂMARA ALVES E FILHOS,DOC100150,-6011.51
E00142,2026-06-03,FOLHA DE PAGAMENTO NOGUEIRA,DOC100207,-2908.51
E00143,2026-06-15,LIQUIDACAO BOLETO DA MOTA,DOC100131,2114.71
E00144,2026-06-04,CREDITO CARTAO SOUZA,DOC100038,294.18
E00145,2026-06-10,RECEBIMENTO CLIENTE GOMES LTDA.,DOC100221,16048.95
E00146,2026-06-02,LIQUIDACAO BOLETO PEIXOTO,DOC100269,24582.87
E00147,2026-06-17,FOLHA DE PAGAMENTO GONÇALVES,DOC100247,-574.65
E00148,2026-06-23,CREDITO CARTAO SÁ,DOC100114,2658.31
E00149,2026-06-23,FOLHA DE PAGAMENTO DUARTE,DOC100262,-14020.88
E00150,2026-06-24,RECEBIMENTO CLIENTE FREITAS DA PAZ S.A.,DOC100119,698.87
E00151,2026-06-15,FOLHA DE PAGAMENTO DA CUNHA - ME,DOC100298,-1036.16
E00152,2026-06-08,LIQUIDACAO BOLETO DA COSTA CAVALCANTI - EI,DOC100311,4113.32
E00153,2026-06-03,ALUGUEL SAMPAIO,DOC100292,-6290.98
E00154,2026-06-28,RECEBIMENTO CLIENTE BORGES LTDA.,DOC100276,9010.77
E00155,2026-06-23,FOLHA DE PAGAMENTO SÁ,DOC100201,-1369.07
E00156,2026-06-02,LIQUIDACAO BOLETO DA LUZ S.A.,DOC100156,13405.48
E00157,2026-06-10,TARIFA BANCARIA MARTINS CARDOSO - EI,DOC100223,-1627.54
E00158,2026-06-20,CREDITO CARTAO CARVALHO SOUSA S/A,DOC100002,7374.43
E00159,2026-06-10,PIX RECEBIDO MONTENEGRO DA LUZ S.A.,DOC100117,11118.45
E00160,2026-06-17,RECEBIMENTO CLIENTE DUARTE,DOC100230,22930.3
E00161,2026-06-03,PIX RECEBIDO PORTO DA MOTA - EI,DOC100202,16734.98
E00162,2026-06-09,PIX ENVIADO RIOS - EI,DOC100122,-2399.68
E00163,2026-06-28,TED RECEBIDA CALDEIRA SAMPAIO LTDA.,DOC100249,2396.14
E00164,2026-06-14,ALUGUEL MELO,DOC100279,-164.44
E00165,2026-06-02,CREDITO CARTAO DA CUNHA,DOC100129,1887.45
E00166,2026-06-14,PIX RECEBIDO FARIAS S/A,DOC100075,16346.55
E00167,2026-06-22,FOLHA DE PAGAMENTO MARTINS GARCIA LTDA.,DOC100029,-8728.65
E00168,2026-06-20,DARF ROCHA E FILHOS,DOC100084,-13961.63
E00169,2026-06-23,FOLHA DE PAGAMENTO RIBEIRO,DOC100278,-16751.12
E00170,2026-06-23,FOLHA DE PAGAMENTO LEÃO E FILHOS,DOC100109,-4406.26
E00171,2026-06-08,TARIFA BANCARIA PIMENTA NUNES LTDA.,DOC100174,-973.1
E00172,2026-06-05,PAGAMENTO FORNECEDOR SÁ,DOC100196,-71.55
E00173,2026-06-26,PIX RECEBIDO NOVAIS,DOC100135,19477.07
E00174,2026-06-03,FOLHA DE PAGAMENTO MENDES,DOC100216,-255.72
E00175,2026-06-10,RECEBIMENTO CLIENTE CALDEIRA,DOC100245,17156.85
E00176,2026-06-16,PAGAMENTO FORNECEDOR PASTOR,DOC100306,-10502.03
E00177,2026-06-08,PIX RECEBIDO DA LUZ MOURA - EI,DOC100065,7248.86
E00178,2026-06-14,RECEBIMENTO CLIENTE BARROS E FILHOS,DOC100225,23265.57
E00179,2026-06-28,ALUGUEL CALDEIRA,DOC100086,-738.28
E00180,2026-06-22,TED RECEBIDA VARGAS,DOC100242,20362.99
E00181,2026-06-23,ALUGUEL GOMES - EI,DOC100161,-1336.79
E00182,2026-06-08,CREDITO CARTAO TEIXEIRA FERNANDES S/A,DOC100012,2101.15
E00183,2026-06-15,LIQUIDACAO BOLETO CASA GRANDE,DOC100035,2611.93
E00184,2026-06-14,CREDITO CARTAO NASCIMENTO SIQUEIRA S.A.,DOC100028,2898.43
E00185,2026-06-09,LIQUIDACAO BOLETO CORREIA LEÃO E FILHOS,DOC100172,173.08
E00186,2026-06-28,LIQUIDACAO BOLETO ALVES,DOC100144,24738.62
E00187,2026-06-20,ALUGUEL SÁ MARTINS - EI,DOC100264,-3334.58
E00188,2026-06-19,ALUGUEL PORTO DA LUZ S.A.,DOC100133,-16905.53
E00189,2026-06-09,DARF MACEDO,DOC100305,-14154.82
E00190,2026-06-15,PIX RECEBIDO CAMARGO,DOC100051,2526.17
E00191,2026-06-19,DARF ABREU,DOC100096,-2885.13
E00192,2026-06-19,TARIFA BANCARIA FERREIRA S.A.,DOC100235,-9871.06
E00193,2026-06-28,PIX ENVIADO MORAES MELO E FILHOS,DOC100180,-12627.7
E00194,2026-06-05,DARF VIEIRA - EI,DOC100250,-916.01
E00195,2026-06-22,CREDITO CARTAO CARVALHO MORAES - ME,DOC100041,6405.53
E00196,2026-06-14,PAGAMENTO FORNECEDOR MARTINS,DOC100090,-10453.08
E00197,2026-06-07,FOLHA DE PAGAMENTO DA ROSA ALBUQUERQUE E FILHOS,DOC100290,-15571.63
E00198,2026-06-09,DARF LOPES CARDOSO S/A,DOC100138,-87.5
E00199,2026-06-03,CREDITO CARTAO RIOS DA MATA E FILHOS,DOC100026,394.11
E00200,2026-06-22,ALUGUEL SAMPAIO,DOC100316,-732.35
E00201,2026-06-02,DARF DA COSTA CASTRO S.A.,DOC100143,-6689.53
E00202,2026-06-06,TED RECEBIDA CIRINO,DOC100227,16598.76
E00203,2026-06-24,PAGAMENTO FORNECEDOR ALVES E FILHOS,DOC100000,-448.79
E00204,2026-06-23,TED RECEBIDA DA ROCHA DA CONCEIÇÃO LTDA.,DOC100289,24920.03
E00205,2026-06-23,ALUGUEL PORTO SÁ - ME,DOC100293,-12022.05
E00206,2026-06-19,PAGAMENTO FORNECEDOR SOUZA LTDA.,DOC100102,-9173.06
E00207,2026-06-05,PIX RECEBIDO RIOS,DOC100195,1689.61
E00208,2026-06-25,PIX RECEBIDO CAMPOS,DOC100285,1988.71
E00209,2026-06-13,FOLHA DE PAGAMENTO ARAÚJO MORAES S/A,DOC100105,-1415.13
E00210,2026-06-16,ALUGUEL ROCHA,DOC100173,-1257.62
E00211,2026-06-16,RECEBIMENTO CLIENTE SAMPAIO,DOC100099,14867.22
E00212,2026-06-26,TED RECEBIDA CARVALHO,DOC100036,2605.77
E00213,2026-06-28,PIX ENVIADO ARAÚJO DA COSTA - EI,DOC100061,-285.63
E00214,2026-06-25,TARIFA BANCARIA VARGAS LTDA.,DOC100152,-8346.55
E00215,2026-06-22,PIX ENVIADO NOVAES,DOC100047,-5438.32
E00216,2026-06-24,TED RECEBIDA CUNHA,DOC100229,1117.61
E00217,2026-06-20,LIQUIDACAO BOLETO MONTEIRO LTDA.,DOC100266,1677.75
E00218,2026-06-18,PIX ENVIADO CASSIANO,DOC100011,-4196.14
E00219,2026-06-25,LIQUIDACAO BOLETO LIMA CAMARGO - EI,DOC100319,1717.09
E00220,2026-06-17,CREDITO CARTAO PIRES,DOC100203,14122.12
E00221,2026-06-24,PAGAMENTO FORNECEDOR BRITO,DOC100288,-319.77
E00222,2026-06-25,DARF PEREIRA E FILHOS,DOC100027,-232.35
E00223,2026-06-25,TARIFA BANCARIA BARBOSA PASTOR E FILHOS,DOC100248,-755.09
E00224,2026-06-09,TARIFA BANCARIA ALVES S/A,DOC100004,-17294.02
E00225,2026-06-16,FOLHA DE PAGAMENTO CARVALHO LTDA.,DOC100124,-688.68
E00226,2026-06-03,TARIFA BANCARIA AZEVEDO,DOC100032,-6094.87
E00227,2026-06-08,PIX RECEBIDO TEIXEIRA,DOC100231,442.99
E00228,2026-06-29,TED RECEBIDA FONSECA LOPES S/A,DOC100164,232.5
E00229,2026-06-13,DARF SÁ S/A,DOC100237,-720.93
E00230,2026-06-16,DARF MACHADO,DOC100275,-417.3
E00231,2026-06-15,ALUGUEL FOGAÇA S.A.,DOC100140,-4494.57
E00232,2026-06-06,PAGAMENTO FORNECEDOR BARROS E FILHOS,DOC100062,-6981.06
E00233,2026-06-25,TED RECEBIDA LEÃO,DOC100218,2833.01
E00234,2026-06-15,FOLHA DE PAGAMENTO NOGUEIRA ANDRADE LTDA.,DOC100137,-2157.7
E00235,2026-06-06,TARIFA BANCARIA BARBOSA,DOC100300,-284.85
E00236,2026-06-22,TARIFA BANCARIA BORGES E FILHOS,DOC100130,-167.72
E00237,2026-06-11,ALUGUEL MACHADO,DOC100313,-4129.15
E00238,2026-06-03,ALUGUEL PASTOR,DOC100008,-5260.32
E00239,2026-06-01,LIQUIDACAO BOLETO CÂMARA AZEVEDO LTDA.,DOC100070,1631.77
E00240,2026-06-28,PIX ENVIADO CAMPOS SILVEIRA S.A.,DOC100284,-930.98
E00241,2026-06-28,RECEBIMENTO CLIENTE CARDOSO RIBEIRO - ME,DOC100064,7390.6
E00242,2026-06-03,CREDITO CARTAO VIEIRA RODRIGUES - ME,DOC100044,2576.33
E00243,2026-06-29,DARF FERREIRA,DOC100014,-5008.34
E00244,2026-06-04,FOLHA DE PAGAMENTO PEIXOTO - ME,DOC100158,-812.63
E00245,2026-06-13,PIX ENVIADO FONSECA,DOC100040,-7941.96
E00246,2026-06-05,CREDITO CARTAO LOPES CAVALCANTI E FILHOS,DOC100258,2518.48
E00247,2026-06-04,LIQUIDACAO BOLETO CALDEIRA E FILHOS,DOC100125,2493.03
E00248,2026-06-03,PAGAMENTO FORNECEDOR MACEDO,DOC100296,-17993.32
E00249,2026-06-02,CREDITO CARTAO MENDONÇA CÂMARA LTDA.,DOC100219,8986.26
E00250,2026-06-28,TARIFA BANCARIA ALVES,DOC100155,-13008.72
E00251,2026-06-20,DARF PORTO,DOC100023,-338.42
E00252,2026-06-02,DARF VASCONCELOS MOREIRA - ME,DOC100304,-1246.59
E00253,2026-06-19,LIQUIDACAO BOLETO DA LUZ GONÇALVES S.A.,DOC100112,1889.45
E00254,2026-06-06,PIX ENVIADO JESUS,DOC100082,-12982.54
E00255,2026-06-04,FOLHA DE PAGAMENTO DA COSTA CARDOSO - ME,DOC100239,-1225.9
E00256,2026-06-02,ALUGUEL AZEVEDO LEÃO - ME,DOC100210,-11406.77
E00257,2026-06-30,TARIFA BANCARIA TEIXEIRA - EI,DOC100215,-542.75
E00258,2026-06-07,PAGAMENTO FORNECEDOR ALBUQUERQUE - EI,DOC100294,-5406.15
E00259,2026-06-15,CREDITO CARTAO ALBUQUERQUE,DOC100254,9198.98
E00260,2026-06-16,TARIFA BANCARIA DA ROCHA,DOC100314,-17096.34
E00261,2026-06-28,RECEBIMENTO CLIENTE DA MOTA MACEDO S/A,DOC100204,2015.93
E00262,2026-06-04,FOLHA DE PAGAMENTO ABREU,DOC100163,-1152.54
E00263,2026-06-16,CREDITO CARTAO CASSIANO E FILHOS,DOC100043,1583.12
E00264,2026-06-14,FOLHA DE PAGAMENTO MENDONÇA,DOC100220,-446.09
E00265,2026-06-26,PIX RECEBIDO NOVAIS S.A.,DOC100193,1759.05
E00266,2026-06-29,RECEBIMENTO CLIENTE BORGES DA MOTA - ME,DOC100263,375.79
E00267,2026-06-22,LIQUIDACAO BOLETO GUERRA CAMPOS - EI,DOC100107,14131.14
E00268,2026-06-24,RECEBIMENTO CLIENTE MARQUES ABREU E FILHOS,DOC100053,1726.69
E00269,2026-06-03,DARF DA CRUZ,DOC100001,-906.21
E00270,2026-06-19,CREDITO CARTAO RODRIGUES - EI,DOC100049,2988.87
E00271,2026-06-29,RECEBIMENTO CLIENTE FOGAÇA,DOC100081,2290.25
E00272,2026-06-26,TED RECEBIDA CARVALHO S.A.,DOC100208,4319.58
E00273,2026-06-26,LIQUIDACAO BOLETO REZENDE MONTEIRO - ME,DOC100034,5075.17
E00274,2026-06-14,TARIFA BANCARIA MENDONÇA CUNHA LTDA.,DOC100267,-7321.46
E00275,2026-06-13,DARF ARAGÃO E FILHOS,DOC100092,-17055.24
E00276,2026-06-10,DARF LOPES,DOC100052,-1401.05
E00277,2026-06-17,RECEBIMENTO CLIENTE FERNANDES,DOC100268,2927.77
E00278,2026-06-22,CREDITO CARTAO VASCONCELOS S.A.,DOC100244,10696.06
E00279,2026-06-26,RECEBIMENTO CLIENTE GARCIA S/A,DOC100013,1049.04
E00280,2026-06-05,PAGAMENTO FORNECEDOR CIRINO,DOC100089,-268.7
E00281,2026-06-24,LIQUIDACAO BOLETO GUERRA SALES S.A.,DOC100277,24042.53
E00282,2026-06-29,RECEBIMENTO CLIENTE RIOS,DOC100168,2443.2
E00283,2026-06-24,TED RECEBIDA BARBOSA,DOC100317,1192.47
E00284,2026-06-23,LIQUIDACAO BOLETO CAMARGO S/A,DOC100136,11855.19
E00285,2026-06-17,TED RECEBIDA DA LUZ RIBEIRO S/A,DOC100310,10020.55
E00286,2026-06-23,ALUGUEL DAS NEVES - EI,DOC100246,-1251.99
E00287,2026-06-22,PIX ENVIADO MONTENEGRO,DOC100054,-5855.73
E00288,2026-06-30,PIX ENVIADO VARGAS,DOC100050,-556.06
E00289,2026-06-05,ALUGUEL DA ROSA LTDA.,DOC100176,-6369.32
E00290,2026-06-21,ALUGUEL SAMPAIO MOREIRA - ME,DOC100192,-1852.4
E00291,2026-06-12,CREDITO CARTAO REPASSE LOTE901,LOTE901,9102.14
E00292,2026-06-18,TED RECEBIDA SÁ S/A,DOC100190,2719.83
E00293,2026-06-12,CREDITO CARTAO NOVAES,DOC100171,24839.22
E00294,2026-06-19,TARIFA BANCARIA PEIXOTO LTDA.,DOC100058,-851.16
E00295,2026-06-15,TED RECEBIDA RODRIGUES E FILHOS,DOC100048,1051.11
E00296,2026-06-21,CREDITO CARTAO COSTA ALMEIDA - EI,DOC100238,686.48
E00297,2026-06-06,FOLHA DE PAGAMENTO MENDONÇA,DOC100255,-1234.49
E00298,2026-06-15,PIX RECEBIDO VARGAS DA ROCHA S/A,DOC100021,18886.03
E00299,2026-06-21,PIX ENVIADO DA CUNHA APARECIDA E FILHOS,DOC100162,-1042.38
E00300,2026-06-04,TARIFA BANCARIA LIMA,DOC100280,-12405.17
E00301,2026-06-11,PIX ENVIADO MARQUES S.A.,DOC100194,-1172.83
E00302,2026-06-27,FOLHA DE PAGAMENTO CIRINO,DOC100297,-3567.89
E00303,2026-06-11,ALUGUEL SIQUEIRA,DOC100261,-3770.39
E00304,2026-06-15,PIX ENVIADO GUERRA FARIAS LTDA.,DOC100151,-849.33
E00305,2026-06-23,TED RECEBIDA ABREU LTDA.,DOC100132,2599.88
E00306,2026-06-24,TARIFA BANCARIA RAMOS,DOC100153,-11184.47
E00307,2026-06-25,RECEBIMENTO CLIENTE CASSIANO,DOC100100,2878.26
E00308,2026-06-23,RECEBIMENTO CLIENTE CARVALHO,DOC100088,8977.73
E00309,2026-06-07,CREDITO CARTAO FOGAÇA LTDA.,DOC100217,1222.15
E00310,2026-06-21,PIX ENVIADO RIBEIRO,DOC100123,-1309.27
E00311,2026-06-26,CREDITO CARTAO REPASSE LOTE902,LOTE902,9782.45
E00312,2026-06-25,DARF SANTOS AZEVEDO S/A,DOC100020,-436.9
E00313,2026-06-04,PIX RECEBIDO CÂMARA,DOC100191,2854.68
E00314,2026-06-22,RECEBIMENTO CLIENTE PASTOR - EI,DOC100071,2774.2
E00315,2026-06-27,LIQUIDACAO BOLETO PACHECO PEIXOTO S/A,DOC100108,12537.51
E00316,2026-06-26,RECEBIMENTO CLIENTE SALES MELO E FILHOS,DOC100274,3921.93
E00317,2026-06-10,PIX ENVIADO MONTENEGRO,DOC100104,-1923.69
